gain_ratio,resolution,resolution_error,chi_squared
9.690,0.01885620585399573,0.0005017628080697239,11.628720396383386
9.7104,0.018617199469664187,0.0005016682587444359,9.289146641357618
9.7308,0.01840073953998151,0.0005016789889105576,7.55154361098462
9.7512,0.018195815339745573,0.0005018648198485452,6.226319836908534
9.7716,0.018002961891699847,0.0005016601904593668,5.112113069046
9.7920,0.01781525067404632,0.0005017493648954377,4.294623785704644
9.8124,0.017636679987004026,0.00050170142019636,3.7303134259398973
9.8328,0.01748574892367971,0.0005016383560897419,3.1065498535169773
9.8532,0.01732716684760458,0.0005019390247385918,2.956024418717255
9.8736,0.017191636976357758,0.0005017461751400284,2.4661966090874987
9.8940,0.01706730565669081,0.000501873507049699,1.9995912040512676
9.9144,0.016941740281780804,0.0005017374528063157,1.8294604767681246
9.9348,0.016838164217075575,0.0005018143560723538,1.6666570110888816
9.9552,0.016760560328015466,0.0005017646180390999,1.7276556087711283
9.9756,0.01666944259377508,0.0005017811050205541,1.839311240706633
9.9960,0.016599914414763307,0.0005020510466545135,2.1552552371124416
10.0164,0.016537553735460633,0.0005023034382252476,2.4884255475830908
10.0368,0.01648665815943379,0.0005024789956289982,2.995770941440038
10.0572,0.016472285549690577,0.0005043825462258694,3.3823900157545626
10.0776,0.016498816657128955,0.0005068055162173168,3.8522079593076666
10.0980,0.016565713350157336,0.0005046172618741765,4.310956397932255
10.1184,0.016613909407822817,0.0005041164462104817,5.11352630628629
10.1388,0.016674726855202663,0.0005037130508006263,5.4699866476628465
10.1592,0.016824105057998973,0.0005023578499999701,6.117248025253274
10.1796,0.016896937339061648,0.0005033573755571653,6.334785512370766
10.2000,0.017113317167786905,0.0005057306865500327,6.325780218850053
10.2204,0.01731903580614774,0.0005024508682358546,5.97480231963663
10.2408,0.017536374371183643,0.0005021566978814123,5.792749922314544
10.2612,0.017730118613201756,0.0005024967520452028,5.283981866317388
10.2816,0.01793730524688593,0.0005020630298892593,4.850792978190832
10.3020,0.01814448551291784,0.0005020359179526823,4.02906152828274
10.3224,0.01833279889283229,0.0005020913456817861,3.455550785088871
10.3428,0.01852619459404051,0.0005020554394863823,2.8224764166595606
10.3632,0.01872430956134607,0.0005018005230856583,2.19057932394211
10.3836,0.018907676965175164,0.0005019276599329103,1.8505658097857485
10.4040,0.019113066510603956,0.0005019661169721144,1.918051578774378
